months_since_last_pymnt_d_last_credit_pull_d,months_since_issue_d_last_credit_pull_d,out_prncp_inv,grade,last_pymnt_amnt,dti,total_rev_hi_lim,total_rec_int,months_since_earliest_cr_line,revol_util,tot_cur_bal,verification_status,inq_last_6mths,credit_event
1,3,30068.21,C,706.01,1.28,10800,634.61,119,35.8,193488,Verified,0,0
0,10,9326.97,B,387.15,27.09,27100,798.0,191,31.5,24705,Source Verified,0,0
0,5,17010.37,D,447.25,22.65,10100,1229.63,300,82.2,21950,Verified,2,0
0,5,10523.36,B,382.55,26.1,34400,401.67,197,54.0,98375,Source Verified,1,0
0,1,11604.73,F,476.38,18.26,11700,239.04,291,44.0,24014,Verified,2,0
0,8,2848.67,C,120.73,39.28,26300,311.66,120,34.0,114406,Not Verified,0,0
0,12,12369.12,C,584.52,20.14,14500,1859.27,189,61.0,199718,Source Verified,0,0
0,3,8873.38,A,295.94,18.93,119800,157.53,343,46.9,103019,Source Verified,1,0
0,7,18220.23,B,709.78,10.67,25200,1164.27,220,61.7,39185,Source Verified,1,0
1,9,11965.54,A,469.29,16.07,53300,713.28,400,53.3,422795,Source Verified,1,0
0,8,32007.25,C,802.29,24.05,50500,2597.36,275,70.5,122487,Verified,0,0
0,3,0.0,C,4842.88,20.78,13700,173.46,153,87.2,23684,Source Verified,1,0
0,6,8552.67,B,327.34,20.89,11100,510.6,193,48.1,35773,Verified,0,0
0,4,25118.27,A,854.87,11.54,42800,560.19,191,71.5,259601,Not Verified,0,0
1,4,32388.28,A,1095.0,3.85,179800,657.94,198,2.9,439182,Verified,1,0
0,5,13996.93,A,500.58,22.66,15200,492.82,239,32.3,31008,Source Verified,0,0
0,1,6256.99,C,220.24,20.8,29000,72.08,90,32.1,46578,Verified,0,0
0,2,15624.61,D,590.27,24.26,17000,443.79,137,52.1,52994,Verified,2,0
0,7,24624.66,G,790.57,18.52,62500,3878.66,225,53.0,44942,Verified,4,1
0,9,17044.37,D,467.62,8.67,46500,2235.48,263,36.2,79967,Source Verified,0,0
0,4,16203.18,A,563.15,12.01,35200,447.89,275,51.1,192480,Source Verified,1,0
0,3,24480.0,E,638.25,22.88,65100,870.55,168,37.3,134019,Source Verified,0,0
1,9,16166.89,C,667.06,11.23,38700,1489.71,148,41.9,229383,Verified,1,0
0,6,16985.51,A,625.72,22.78,16400,722.3,252,67.5,424820,Source Verified,0,0
0,5,10497.72,A,375.43,14.71,70100,369.61,255,12.3,237857,Verified,0,0
0,8,9938.33,B,387.15,35.08,23900,635.06,383,82.1,367961,Not Verified,0,0
1,3,34168.41,C,802.29,13.38,55079,747.07,202,53.6,417155,Verified,1,0
0,4,14380.67,A,493.23,26.49,38500,341.34,170,29.4,182396,Not Verified,0,0
1,3,14307.25,C,503.18,31.49,30800,303.03,167,85.2,32737,Source Verified,1,0
0,3,13544.65,D,347.87,10.08,17800,555.22,187,55.2,9824,Verified,0,0
0,12,7555.93,C,261.64,21.56,9500,1255.65,197,67.6,13948,Source Verified,0,0
1,2,24737.03,D,629.01,14.67,9700,305.03,410,68.2,222209,Verified,1,0
0,9,18092.27,B,445.62,22.92,63300,1590.33,259,46.7,104564,Verified,0,0
0,6,10447.36,D,275.65,33.79,26700,880.66,202,62.2,217178,Not Verified,0,0
0,10,13233.6,D,361.67,21.43,18700,1837.29,412,65.3,121692,Source Verified,0,0
0,6,4298.4,C,169.27,5.93,4100,310.32,519,90.0,3692,Verified,2,0
0,7,18671.04,D,496.95,30.4,45800,1756.56,213,96.7,247475,Verified,1,0
0,3,12390.15,D,322.05,16.5,34500,531.31,127,61.2,31971,Verified,3,0
0,5,5700.13,B,207.22,28.25,16100,249.47,274,50.0,152507,Not Verified,1,0
0,10,14824.3,A,611.98,7.29,42800,937.0,279,37.4,521303,Source Verified,0,0
1,9,12289.77,D,534.72,6.0,400,1553.37,362,0.0,140582,Verified,0,0
1,6,18772.31,C,451.9,24.69,92300,1017.71,144,37.5,95223,Not Verified,3,0
1,9,5415.87,C,223.47,25.36,18000,499.06,104,31.0,31256,Not Verified,0,0
0,1,10717.5,A,331.27,26.27,36600,45.52,196,23.9,95448,Not Verified,0,0
0,2,24287.97,C,556.75,37.03,40100,482.27,130,53.9,299903,Not Verified,0,0
1,6,12331.49,B,461.87,25.31,25950,644.68,366,72.0,49135,Not Verified,2,0
1,3,13351.5,D,505.82,27.91,25800,380.29,42,59.9,26782,Verified,0,0
0,1,7794.55,A,257.47,21.97,30600,49.66,136,21.5,49818,Not Verified,0,0
0,11,6171.37,E,301.58,30.64,7000,1279.99,340,54.3,21687,Source Verified,0,0
0,3,1870.33,D,71.88,36.11,8500,84.02,79,82.0,35185,Verified,0,0
0,1,8779.24,B,283.61,27.45,41100,54.47,91,30.3,43512,Not Verified,0,0
0,9,14047.05,F,429.12,8.52,14900,2242.56,276,64.2,82690,Source Verified,1,0
0,5,28232.48,D,745.42,22.49,53000,1923.32,107,48.1,236201,Source Verified,1,0
1,3,26309.68,C,617.76,13.41,25200,575.24,262,84.8,707083,Not Verified,0,0
0,7,5820.67,B,230.94,18.8,22700,432.77,181,57.5,16348,Source Verified,0,0
0,3,4773.53,C,170.87,10.79,3900,119.15,131,88.5,72554,Source Verified,0,0
0,8,6498.82,C,273.39,32.48,16100,679.72,111,43.0,57821,Source Verified,1,0
-4,2,23177.94,C,573.06,18.29,15000,1597.79,237,21.2,56252,Source Verified,0,0
0,11,5851.6,B,265.68,20.57,8300,774.07,143,66.9,11663,Verified,0,0
0,4,2881.02,B,689.54,28.32,14800,133.39,193,77.1,81235,Source Verified,0,0
0,3,13151.26,B,483.94,8.6,16200,336.43,158,59.4,468956,Not Verified,0,0
0,1,34247.86,D,1247.68,21.82,100700,462.5,310,58.7,1110765,Verified,2,0
1,2,0.0,B,8097.09,4.12,6200,89.82,257,50.4,288480,Source Verified,0,0
0,8,2314.38,C,93.09,9.83,6400,187.1,270,5.0,2959,Not Verified,0,0
0,3,7405.49,B,251.36,18.22,15000,155.93,137,72.9,31059,Verified,0,0
1,10,20256.98,E,926.27,12.83,17500,3241.9,72,79.9,362049,Verified,1,0
0,7,4989.13,B,197.95,18.72,48100,370.94,347,92.0,290579,Not Verified,1,0
0,2,33142.75,C,1172.39,14.65,34000,677.01,216,76.1,65937,Source Verified,0,0
1,4,23210.17,D,590.68,35.68,36800,1070.47,267,87.2,346896,Verified,1,0
0,6,29811.9,B,1115.77,19.79,65100,1488.69,184,54.0,642185,Source Verified,0,0
0,8,18004.09,C,451.9,13.62,29200,1591.09,165,71.5,87779,Source Verified,0,0
0,6,17006.59,B,385.56,13.86,24000,801.1,142,81.4,585610,Not Verified,0,0
0,12,6460.54,A,279.92,10.66,74800,532.17,153,20.5,156001,Not Verified,2,0
0,8,8083.44,C,333.53,15.6,25100,744.85,138,51.3,12883,Source Verified,0,0
0,11,14882.44,D,427.73,18.02,19200,2570.88,122,63.2,238506,Source Verified,0,0
0,8,14517.53,B,593.83,26.78,20600,1245.11,183,42.3,82778,Source Verified,1,0
0,1,9765.07,B,328.43,26.55,8100,87.27,126,96.7,130952,Verified,0,0
0,2,7610.7,B,255.04,10.43,25400,112.63,181,26.3,13120,Not Verified,2,0
1,12,7383.71,D,349.55,15.15,46300,1257.21,128,59.5,48950,Source Verified,0,0
0,5,8473.9,D,335.67,24.63,25000,579.97,343,32.9,30566,Verified,3,0
0,12,2138.36,C,102.99,38.13,13000,371.86,370,15.9,158951,Not Verified,0,0
2,5,0.0,E,2006.95,7.78,13000,154.97,132,38.4,4996,Verified,0,0
0,6,8480.36,A,309.97,5.87,16500,336.15,172,62.2,45117,Not Verified,0,0
0,6,13723.71,C,533.65,21.56,23200,914.69,237,72.9,182055,Source Verified,2,0
0,2,11404.99,A,375.43,13.27,24300,145.33,158,46.7,11353,Source Verified,0,0
0,3,9156.63,C,322.04,25.6,48400,193.94,140,58.1,52855,Verified,2,0
1,2,19521.25,B,645.25,14.12,37400,138.75,235,60.5,258703,Source Verified,1,0
0,2,14300.6,C,498.58,17.09,39800,277.68,176,37.8,30990,Not Verified,0,0
0,1,7800.43,A,247.97,23.65,69400,41.95,235,37.8,287982,Verified,1,0
0,6,4376.48,B,157.1,11.57,22600,164.14,39,9.0,20351,Not Verified,0,0
0,3,18583.55,B,659.81,11.85,35100,530.95,168,57.4,305974,Not Verified,1,0
0,2,6853.87,B,232.29,22.25,15400,114.45,149,49.5,27158,Source Verified,0,0
1,11,7590.56,C,335.45,21.74,23900,962.21,125,79.5,148645,Source Verified,0,0
0,3,24233.83,E,651.14,32.95,37900,1160.6,360,56.3,74445,Verified,4,0
1,5,4807.16,C,181.78,20.04,25800,236.38,97,20.9,5387,Verified,0,0
0,5,9894.03,E,282.01,30.99,19500,782.6,146,60.2,46293,Source Verified,1,0
0,7,21980.83,C,558.32,17.01,9300,1870.42,200,30.2,248766,Source Verified,0,0
1,6,6867.88,C,268.36,17.36,9200,432.92,67,40.6,9316,Not Verified,0,0
1,4,33788.49,C,937.57,12.29,48300,1350.05,352,87.9,68110,Verified,0,0
0,6,8405.83,C,336.32,9.33,14900,681.32,164,55.8,8318,Not Verified,0,0
0,4,17986.1,A,619.93,8.62,44220,457.75,308,47.0,359505,Verified,3,0
9,12,0.0,E,390.17,15.78,9300,490.6,185,52.3,102821,Source Verified,1,1
0,12,6950.05,B,316.47,19.08,24600,738.06,150,67.6,244744,Not Verified,0,0
0,8,14807.15,B,363.13,18.73,49200,1191.05,111,21.8,12516,Source Verified,2,0
0,5,23324.65,B,521.03,7.96,17400,917.06,137,73.0,31989,Not Verified,0,0
0,1,11838.29,B,223.16,13.64,59400,55.86,349,35.5,232118,Not Verified,1,0
0,7,13141.6,A,493.23,20.03,42800,588.09,228,42.4,245786,Not Verified,0,0
0,1,13648.8,A,431.58,21.18,18500,69.66,159,82.3,65999,Verified,0,0
0,1,11703.47,A,375.43,21.91,19400,73.64,81,55.6,36745,Source Verified,0,0
0,7,3352.65,C,137.98,22.51,26000,315.25,251,60.0,329019,Not Verified,1,0
0,6,14833.88,C,366.76,9.4,18200,1058.13,387,50.2,14927,Source Verified,1,0
0,11,18607.81,B,447.98,15.64,130800,1510.6,337,20.8,255492,Source Verified,1,0
0,3,34272.01,E,893.54,24.33,26000,1023.6,455,85.8,38609,Verified,1,0
1,9,14065.13,C,580.35,30.33,35700,1296.05,184,55.9,129041,Verified,0,0
0,3,5560.37,B,191.28,17.52,35600,128.1,209,50.7,45704,Source Verified,0,0
0,6,23299.72,A,831.17,14.29,38700,670.43,336,30.6,341567,Not Verified,0,0
0,8,25682.39,C,694.04,15.66,39400,2263.74,237,96.4,492803,Source Verified,0,0
1,6,25890.38,B,578.86,30.02,38700,1004.71,454,25.3,66660,Not Verified,0,0
0,4,33745.68,C,802.29,19.11,22300,1217.34,298,21.9,463846,Verified,0,0
3,11,14616.42,E,411.01,11.31,20000,1888.02,88,72.7,14534,Verified,0,1
0,2,7629.98,C,267.98,25.85,24700,160.34,118,83.7,40571,Verified,0,0
1,9,9819.63,D,425.16,32.39,12800,1209.88,217,92.0,84149,Verified,1,0
1,4,24233.83,E,651.14,6.95,29200,1160.6,75,7.5,114900,Verified,1,0
0,12,6515.37,B,288.26,12.76,15000,681.49,-604,48.8,8480,Verified,0,0
1,9,0.0,B,16715.49,22.53,60700,1158.17,121,67.3,577839,Source Verified,1,0
0,9,1562.49,B,65.99,15.3,5300,153.84,129,18.4,59603,Not Verified,1,0
0,1,5863.21,C,202.69,1.69,500,61.51,126,90.4,254428,Source Verified,0,0
0,1,9896.64,E,255.03,4.7,16600,141.56,198,45.3,7524,Source Verified,0,0
0,12,3563.93,C,171.65,22.02,20300,613.79,68,65.2,24069,Verified,0,0
0,1,11698.97,A,369.93,8.98,165500,64.31,351,16.7,123525,Source Verified,0,0
4,7,0.0,E,148.91,19.05,24400,713.54,66,42.5,183570,Source Verified,1,0
1,2,22461.88,B,758.34,23.65,40400,205.54,118,63.0,293551,Source Verified,1,0
0,4,31982.91,D,807.73,24.53,26200,1684.78,126,87.2,247777,Verified,0,0
1,9,1196.55,A,46.93,20.27,17100,71.33,100,5.3,912,Verified,0,0
0,12,3553.84,C,170.07,15.9,28300,585.19,441,73.3,217109,Not Verified,0,0
0,6,15854.77,B,593.83,18.58,32500,883.27,154,56.5,223825,Source Verified,0,0
0,11,10397.12,A,431.77,21.04,23200,704.06,188,35.3,22239,Source Verified,0,0
0,6,27625.95,B,637.27,14.83,91200,1432.92,204,55.1,336562,Verified,1,0
0,3,18486.22,A,616.54,13.67,9500,316.7,66,47.3,14429,Source Verified,0,0
0,1,29288.94,B,977.06,18.02,33000,248.27,156,28.3,213962,Source Verified,1,0
0,1,4876.44,A,156.43,16.0,36500,28.49,187,68.5,42295,Source Verified,1,0
0,5,0.0,E,321.97,38.8,16400,1174.26,113,54.6,70135,Source Verified,3,0
0,5,22550.46,C,550.14,15.38,62000,1327.82,184,39.4,78513,Not Verified,2,0
0,11,3581.47,A,154.37,28.53,16800,277.6,153,48.6,31482,Not Verified,0,0
1,6,14124.0,C,354.1,30.93,36700,973.85,166,57.4,203091,Not Verified,0,0
0,11,7254.43,B,322.63,12.14,12200,797.81,157,84.5,68686,Not Verified,0,0
0,12,8687.23,B,384.34,5.35,30900,908.64,229,88.0,113396,Not Verified,0,0
0,6,10143.6,C,383.56,9.63,21700,553.55,150,58.6,21978,Not Verified,2,0
3,8,20192.88,D,784.76,27.78,6900,1161.55,155,92.6,21190,Source Verified,0,1
0,6,11275.23,C,275.07,15.62,11500,632.81,145,78.6,209967,Source Verified,0,0
0,5,13080.29,A,457.97,28.38,71300,364.94,217,78.1,75275,Source Verified,0,0
0,6,3050.3,A,110.98,24.91,20900,114.8,282,78.6,23067,Not Verified,0,0
0,2,5717.9,B,197.83,2.91,12500,132.71,199,24.8,3105,Verified,1,0
0,4,0.0,F,25196.5,23.72,31600,2396.47,151,82.9,36988,Verified,0,0
0,11,9018.08,B,395.58,31.65,49700,863.44,232,25.1,12496,Source Verified,1,0
0,8,12340.07,B,483.94,8.86,34800,802.15,121,49.7,154756,Not Verified,0,0
1,10,20173.4,D,564.22,21.74,26000,2804.49,115,80.3,89104,Source Verified,0,0
0,8,7763.43,C,324.15,31.05,21700,774.54,105,57.1,116528,Not Verified,0,0
1,8,18240.03,C,451.9,31.01,34500,1412.06,334,69.6,122656,Source Verified,0,0
0,7,10004.33,B,239.12,22.4,12000,674.81,195,89.2,242063,Not Verified,1,0
0,4,16378.39,A,1000.0,14.73,111300,370.73,135,43.2,338005,Not Verified,0,0
0,5,18659.74,B,416.82,31.96,32000,723.46,258,23.5,52378,Not Verified,0,0
1,6,21843.74,A,774.91,19.7,25500,698.12,177,80.6,48413,Source Verified,0,0
0,9,10665.88,C,275.07,31.99,50400,1123.74,281,82.2,85699,Not Verified,1,0
0,8,27919.67,A,1095.0,21.09,156200,1664.33,333,53.9,425751,Source Verified,0,0
0,7,2529.05,D,106.95,23.62,10100,274.87,86,36.5,40545,Not Verified,2,0
1,3,10962.65,D,281.8,32.35,12100,304.39,101,56.7,64635,Verified,1,0
0,1,34151.69,B,1204.92,22.61,66100,338.78,219,73.0,159464,Source Verified,0,0
0,7,16397.86,A,610.62,17.03,62100,665.27,427,52.0,286028,Source Verified,1,0
0,2,12437.31,D,463.43,35.92,16000,376.43,48,78.6,50361,Verified,0,0
1,3,21117.22,D,520.81,20.03,86100,521.38,235,44.3,252442,Source Verified,0,0
0,4,19116.34,D,492.23,18.76,26400,1066.87,120,75.4,31511,Verified,0,0
0,1,34247.86,D,1247.68,19.68,20000,462.5,214,42.9,386473,Verified,1,0
0,7,0.0,B,13410.1,14.42,17400,855.99,233,47.9,181977,Not Verified,0,0
0,2,9783.62,D,354.3,25.2,24700,128.73,338,54.7,109761,Verified,0,0
0,6,17474.98,A,619.93,25.55,41000,566.56,155,1.5,149513,Not Verified,0,0
0,2,23730.15,A,763.28,24.42,59800,239.38,331,45.4,172005,Source Verified,0,0
0,7,9969.01,D,271.73,24.12,21500,1060.58,181,97.3,331146,Not Verified,0,0
0,11,10375.66,C,279.16,10.87,11200,1460.4,144,57.4,9046,Source Verified,1,0
0,12,730.35,C,40.0,35.46,12700,109.79,98,8.5,21793,Verified,0,0
1,3,7144.74,B,245.51,34.06,46000,131.18,188,76.8,51858,Not Verified,0,0
0,6,8473.11,A,308.27,11.1,10900,318.9,154,11.8,169201,Not Verified,0,0
0,6,12895.25,C,507.8,17.17,18300,930.94,96,55.3,162976,Verified,3,0
0,6,11202.62,D,298.17,32.36,7000,968.99,244,84.0,70234,Source Verified,0,0
0,11,22384.45,D,1069.44,16.72,55800,4119.97,278,62.5,318156,Verified,1,0
0,4,29787.05,D,752.28,30.47,65800,1460.88,128,46.0,352585,Source Verified,2,0
0,4,23924.8,D,629.01,21.46,17000,1416.44,149,91.9,68365,Source Verified,0,0
0,9,10810.16,F,333.99,18.42,17700,1935.8,193,41.4,129539,Source Verified,0,0
0,4,33494.73,D,880.61,11.58,17500,1948.84,188,77.2,81500,Source Verified,0,0
0,11,8794.77,C,403.43,27.82,34900,1248.86,337,25.9,13515,Source Verified,0,0
0,4,20860.69,D,537.15,25.76,39000,1164.22,203,51.5,24654,Source Verified,1,0
0,6,15439.15,C,600.36,28.34,26000,1016.73,168,6.5,172067,Not Verified,3,0
1,5,18149.84,C,677.07,18.72,13100,843.31,129,80.1,193270,Not Verified,1,0
1,9,31668.66,C,826.24,26.74,21100,3250.09,247,92.0,56184,Not Verified,0,0
0,1,7797.35,A,244.25,7.61,43000,38.83,182,8.1,95486,Not Verified,0,0
0,8,2802.89,B,111.58,13.73,10600,193.75,98,12.5,172329,Not Verified,0,0
0,2,13616.56,A,283.14,25.13,23500,173.64,155,48.9,181576,Not Verified,0,0
1,4,13034.05,C,473.95,10.2,12900,445.53,195,87.5,23295,Verified,1,0
0,2,0.0,C,13024.06,9.9,16700,302.01,170,40.9,187188,Source Verified,0,0
0,5,0.0,B,2662.37,1.29,21000,143.55,58,37.3,7825,Source Verified,0,0
0,1,2438.68,B,78.78,7.44,10800,16.3,345,52.6,65965,Source Verified,0,0
0,7,26885.56,D,1118.88,21.52,28400,2717.72,225,76.4,62229,Verified,0,0
0,5,25373.47,A,855.26,5.86,42600,488.36,392,70.6,170585,Not Verified,0,0
0,8,2882.96,B,114.77,9.63,11600,199.29,196,32.7,9459,Not Verified,0,0
0,10,5668.52,B,247.43,7.71,12000,633.21,123,79.8,231584,Not Verified,0,0
1,10,21533.61,A,863.54,14.15,34000,1294.71,215,92.3,550883,Source Verified,0,0
0,1,7815.95,C,267.98,20.3,48000,72.74,324,74.4,172450,Source Verified,0,0
0,12,9013.34,D,439.56,26.25,41300,1702.17,114,20.8,37251,Verified,0,0
0,3,16758.08,C,609.36,30.4,24000,572.83,124,23.6,60131,Source Verified,0,0
0,7,28925.0,F,873.73,16.21,22800,3961.92,135,60.6,249782,Verified,0,0
9,11,0.0,E,581.38,15.96,29700,515.26,191,47.9,110828,Verified,2,1
0,4,14354.86,D,377.41,29.32,35400,827.9,197,73.1,35348,Source Verified,0,0
1,12,7269.54,B,324.98,6.49,86100,838.49,131,15.0,12899,Not Verified,0,0
0,6,13556.99,A,493.23,14.9,54000,510.25,192,37.0,209698,Not Verified,1,0
0,3,7253.62,C,260.16,12.82,11500,228.77,89,59.0,6784,Source Verified,0,0
0,6,4266.72,B,161.32,10.36,5000,229.09,153,59.8,200251,Source Verified,0,0
1,10,16377.38,B,687.42,21.07,64900,1551.34,279,85.4,219927,Source Verified,0,0
0,3,11960.85,C,440.26,22.09,18800,442.22,216,61.8,136397,Not Verified,1,0
0,10,21018.58,C,550.14,16.01,31600,2502.21,136,71.5,42528,Source Verified,1,0
0,9,4663.44,B,212.29,15.43,8300,421.04,128,36.5,117416,Not Verified,0,0
1,3,0.0,A,18940.97,8.4,31500,355.46,180,61.7,128154,Source Verified,0,0
0,11,30436.14,D,843.9,36.96,94500,4688.69,339,42.7,622766,Verified,1,0
1,4,27801.93,B,956.37,29.77,46900,655.76,284,27.9,135842,Source Verified,0,0
1,2,14559.52,E,397.61,19.45,7300,214.28,92,113.9,31381,Verified,0,0
0,3,11159.43,C,400.24,10.76,16000,351.96,145,77.5,45111,Source Verified,0,0
7,10,0.0,E,191.23,7.29,46700,227.39,114,39.6,166384,Verified,1,1
0,3,3818.82,C,147.33,8.01,14600,96.63,152,39.6,5783,Source Verified,2,0
0,2,15176.36,A,481.84,9.63,75800,132.95,172,17.2,132901,Verified,0,0
0,7,18421.09,D,492.23,11.79,20400,1875.89,135,34.5,15720,Source Verified,0,0
0,1,14647.6,B,492.65,14.95,47100,130.9,197,41.1,192729,Not Verified,2,0
0,4,10938.26,C,259.84,18.24,25000,514.1,147,80.4,221327,Verified,0,0
0,2,15623.26,C,369.57,23.97,25200,350.25,158,71.5,274743,Source Verified,0,0
1,6,14175.3,D,372.71,18.65,13800,1024.69,336,55.3,45685,Not Verified,2,0
0,12,5088.63,B,227.49,26.4,9900,586.94,232,57.7,53602,Source Verified,0,0
0,12,13484.41,B,351.4,9.29,76900,1691.04,169,57.8,555929,Not Verified,0,0
0,6,0.0,B,7094.4,29.91,25100,380.46,288,42.5,156978,Not Verified,0,0
0,6,33118.87,D,886.11,33.11,57700,2479.96,264,65.1,189364,Source Verified,0,0
0,2,2034.7,E,77.04,15.32,3700,61.63,154,23.8,209395,Source Verified,0,0
0,7,5448.03,C,224.22,15.42,25800,506.99,167,92.6,414668,Source Verified,0,0
